Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2019 12 15 11	1.63	13.0	14.7	352	-9999.9	-9999.9	1.54	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 12	1.71	13.1	14.7	352	-9999.9	-9999.9	1.62	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 13	1.79	13.3	14.7	352	-9999.9	-9999.9	1.71	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 14	1.87	13.4	16.1	353	-9999.9	-9999.9	1.78	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 15	1.94	13.5	16.1	353	-9999.9	-9999.9	1.84	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 16	1.99	13.5	16.1	353	-9999.9	-9999.9	1.89	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 17	2.03	13.6	16.1	353	-9999.9	-9999.9	1.93	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 18	2.06	13.7	16.1	353	-9999.9	-9999.9	1.96	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 19	2.1	13.8	16.1	353	-9999.9	-9999.9	1.99	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 20	2.13	13.9	17.7	353	-9999.9	-9999.9	2.02	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 21	2.16	13.9	17.7	353	-9999.9	-9999.9	2.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 22	2.19	14.0	17.7	353	-9999.9	-9999.9	2.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 15 23	2.21	14.1	17.7	353	-9999.9	-9999.9	2.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 00	2.23	14.1	17.7	353	-9999.9	-9999.9	2.11	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 01	2.26	14.3	17.7	353	-9999.9	-9999.9	2.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 02	2.3	14.4	17.7	353	-9999.9	-9999.9	2.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 03	2.33	14.4	17.7	353	-9999.9	-9999.9	2.2	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 04	2.35	14.5	17.7	353	-9999.9	-9999.9	2.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
