Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2022 05 18 18	0.54	2.9	13.3	341	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 18 19	0.48	3.5	13.3	345	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 18 20	0.46	4.0	13.3	347	-9999.9	-9999.9	0.32	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 18 21	0.44	4.5	13.3	348	-9999.9	-9999.9	0.32	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 18 22	0.44	4.6	13.3	348	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 18 23	0.43	4.8	13.3	348	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 00	0.43	5.3	13.3	348	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 01	0.42	6.2	13.3	349	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 02	0.42	6.2	13.3	348	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 03	0.43	6.4	13.3	348	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 04	0.43	7.2	13.3	349	-9999.9	-9999.9	0.36	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 05	0.44	7.6	13.3	349	-9999.9	-9999.9	0.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 06	0.45	7.8	13.3	349	-9999.9	-9999.9	0.38	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 07	0.46	7.9	13.3	349	-9999.9	-9999.9	0.38	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 08	0.46	7.8	13.3	349	-9999.9	-9999.9	0.39	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 09	0.46	7.5	13.3	349	-9999.9	-9999.9	0.39	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 10	0.49	5.1	12.1	353	-9999.9	-9999.9	0.39	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 11	0.52	3.9	12.1	358	-9999.9	-9999.9	0.38	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 12	0.57	3.6	12.1	2	-9999.9	-9999.9	0.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 13	0.71	3.4	12.1	8	-9999.9	-9999.9	0.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 14	0.84	3.4	12.1	13	-9999.9	-9999.9	0.36	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 15	0.86	3.6	12.1	13	-9999.9	-9999.9	0.36	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 16	0.82	3.8	12.1	13	-9999.9	-9999.9	0.36	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 17	0.77	4.2	12.1	12	-9999.9	-9999.9	0.36	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 18	0.74	4.6	12.1	11	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 19	0.73	4.9	12.1	10	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 20	0.7	5.1	12.1	10	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 21	0.66	5.2	12.1	9	-9999.9	-9999.9	0.35	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 22	0.62	5.3	11.0	7	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 19 23	0.59	5.4	11.0	6	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 00	0.57	5.4	11.0	5	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 01	0.55	5.5	11.0	4	-9999.9	-9999.9	0.32	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 02	0.54	5.5	11.0	3	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 03	0.54	5.5	11.0	4	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 04	0.55	5.5	11.0	5	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 05	0.56	5.5	11.0	6	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 06	0.56	5.5	11.0	7	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 07	0.55	5.5	11.0	7	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 08	0.56	4.8	11.0	5	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 09	0.56	4.8	12.1	4	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 10	0.55	5.0	12.1	5	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 11	0.55	5.2	12.1	5	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 12	0.54	5.2	12.1	5	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 13	0.54	5.3	12.1	4	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 14	0.54	5.2	12.1	3	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 15	0.53	5.4	12.1	3	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 16	0.53	5.6	12.1	3	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 17	0.52	5.6	12.1	3	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 18	0.52	5.6	12.1	2	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 19	0.51	5.6	12.1	2	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 20	0.5	5.6	12.1	1	-9999.9	-9999.9	0.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 21	0.49	5.5	11.0	1	-9999.9	-9999.9	0.25	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 22	0.48	5.4	11.0	1	-9999.9	-9999.9	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 20 23	0.48	5.3	11.0	1	-9999.9	-9999.9	0.23	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 00	0.49	5.1	11.0	1	-9999.9	-9999.9	0.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 01	0.52	4.6	11.0	2	-9999.9	-9999.9	0.21	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 02	0.54	4.3	11.0	3	-9999.9	-9999.9	0.2	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 03	0.56	3.9	4.7	5	-9999.9	-9999.9	0.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 04	0.62	3.8	4.7	7	-9999.9	-9999.9	0.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 05	0.72	4.0	4.7	11	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 06	0.82	4.1	4.7	15	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 07	0.88	4.3	5.1	17	-9999.9	-9999.9	0.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 08	0.87	4.4	5.1	17	-9999.9	-9999.9	0.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 09	0.83	4.5	5.1	16	-9999.9	-9999.9	0.21	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 10	0.82	4.5	5.1	16	-9999.9	-9999.9	0.23	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 11	0.84	4.5	5.1	16	-9999.9	-9999.9	0.25	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 12	0.86	4.7	5.1	15	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 13	0.87	5.0	5.1	14	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 14	0.87	5.0	5.7	13	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 15	0.85	5.3	5.7	12	-9999.9	-9999.9	0.32	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 16	0.84	5.5	5.7	11	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 17	0.82	5.6	5.7	10	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 18	0.79	5.7	5.7	9	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 19	0.77	5.7	5.7	9	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 20	0.74	5.7	12.1	8	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 21	0.71	5.7	11.0	7	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 22	0.7	5.7	11.0	6	-9999.9	-9999.9	0.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 21 23	0.7	5.7	11.0	6	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 00	0.71	5.6	11.0	6	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 01	0.75	5.3	11.0	8	-9999.9	-9999.9	0.32	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 02	0.78	5.1	5.1	9	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 03	0.83	4.9	5.1	9	-9999.9	-9999.9	0.31	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 04	0.83	5.0	5.1	9	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 05	0.83	5.0	5.1	9	-9999.9	-9999.9	0.3	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 06	0.82	5.0	5.1	8	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 07	0.8	5.0	5.7	8	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 08	0.78	5.0	5.7	8	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 09	0.76	5.0	5.7	8	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 10	0.73	5.1	5.7	7	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 11	0.7	5.2	5.7	6	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 12	0.68	5.2	5.7	5	-9999.9	-9999.9	0.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 13	0.68	4.9	5.7	4	-9999.9	-9999.9	0.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 14	0.73	3.6	11.0	356	-9999.9	-9999.9	0.26	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 15	0.76	3.2	11.0	346	-9999.9	-9999.9	0.25	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 16	0.74	3.0	10.0	341	-9999.9	-9999.9	0.25	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 17	0.75	3.0	10.0	339	-9999.9	-9999.9	0.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 18	0.71	3.0	10.0	339	-9999.9	-9999.9	0.23	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 19	0.7	3.0	10.0	338	-9999.9	-9999.9	0.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 20	0.68	2.9	10.0	337	-9999.9	-9999.9	0.2	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 21	0.61	3.2	10.0	341	-9999.9	-9999.9	0.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 22	0.6	3.2	10.0	339	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 22 23	0.63	3.0	10.0	330	-9999.9	-9999.9	0.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 00	0.59	3.0	10.0	330	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 01	0.55	2.9	10.0	330	-9999.9	-9999.9	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 02	0.53	3.0	10.0	332	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 03	0.52	3.3	10.0	335	-9999.9	-9999.9	0.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 04	0.54	3.3	6.2	335	-9999.9	-9999.9	0.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 05	0.54	3.8	6.2	339	-9999.9	-9999.9	0.12	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 06	0.52	4.7	6.2	342	-9999.9	-9999.9	0.11	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 07	0.51	5.1	6.2	344	-9999.9	-9999.9	0.11	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 08	0.51	4.8	6.2	344	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 09	0.51	4.8	6.2	345	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 10	0.5	5.1	6.8	347	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 11	0.51	5.1	6.8	348	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 12	0.51	5.1	6.8	348	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 13	0.52	5.1	6.8	349	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 14	0.53	4.7	6.8	347	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 15	0.54	4.4	6.8	344	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 16	0.55	4.4	6.8	343	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 17	0.55	4.2	6.8	340	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 18	0.57	3.9	6.8	338	-9999.9	-9999.9	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 19	0.54	4.2	6.8	339	-9999.9	-9999.9	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 20	0.51	4.3	7.5	338	-9999.9	-9999.9	0.06	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 21	0.51	4.3	7.5	337	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 22	0.53	4.2	8.3	337	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 23 23	0.55	3.8	8.3	337	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 00	0.55	4.0	8.3	338	-9999.9	-9999.9	0.07	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 01	0.55	3.9	8.3	338	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 02	0.54	4.1	8.3	340	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 03	0.52	4.3	8.3	340	-9999.9	-9999.9	0.08	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 04	0.51	4.3	8.3	340	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 05	0.51	4.3	8.3	340	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 06	0.52	4.5	8.3	342	-9999.9	-9999.9	0.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 07	0.56	3.7	8.3	337	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 08	0.55	3.9	8.3	340	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 09	0.54	4.1	8.3	339	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 10	0.57	3.6	8.3	336	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 11	0.59	3.5	8.3	335	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 12	0.57	3.6	8.3	336	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 13	0.59	3.6	8.3	337	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 14	0.59	3.6	8.3	337	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 15	0.63	3.3	8.3	335	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 16	0.7	3.2	8.3	334	-9999.9	-9999.9	0.1	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 17	0.69	3.3	7.5	333	-9999.9	-9999.9	0.11	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 18	0.68	3.3	8.3	334	-9999.9	-9999.9	0.11	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 19	0.65	3.4	8.3	334	-9999.9	-9999.9	0.12	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 20	0.57	3.9	8.3	337	-9999.9	-9999.9	0.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 21	0.53	4.7	8.3	341	-9999.9	-9999.9	0.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 22	0.55	3.9	9.1	340	-9999.9	-9999.9	0.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 24 23	0.57	3.7	9.1	341	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 00	0.57	3.7	9.1	342	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 01	0.56	3.9	9.1	343	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 02	0.59	3.7	9.1	342	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 03	0.64	3.5	9.1	344	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 04	0.64	3.6	9.1	346	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 05	0.64	3.6	9.1	348	-9999.9	-9999.9	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 06	0.62	3.7	8.3	349	-9999.9	-9999.9	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 07	0.6	3.9	8.3	349	-9999.9	-9999.9	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 08	0.57	3.9	9.1	349	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 09	0.57	3.8	10.0	348	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 10	0.57	3.7	10.0	346	-9999.9	-9999.9	0.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 11	0.57	3.6	10.0	345	-9999.9	-9999.9	0.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 12	0.55	3.9	10.0	346	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 13	0.55	3.7	10.0	344	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 14	0.57	3.6	10.0	344	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 15	0.56	3.6	10.0	345	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 16	0.56	3.6	10.0	346	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 17	0.55	3.7	10.0	347	-9999.9	-9999.9	0.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 18	0.54	3.7	10.0	347	-9999.9	-9999.9	0.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 19	0.52	4.2	10.0	348	-9999.9	-9999.9	0.17	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 20	0.49	4.7	10.0	348	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 21	0.47	4.9	9.1	347	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 22	0.46	4.9	9.1	347	-9999.9	-9999.9	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 25 23	0.45	4.9	9.1	346	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 00	0.44	4.9	9.1	346	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 01	0.43	5.2	9.1	346	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 02	0.42	5.5	9.1	346	-9999.9	-9999.9	0.14	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 03	0.42	5.7	9.1	346	-9999.9	-9999.9	0.15	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 04	0.42	5.9	9.1	346	-9999.9	-9999.9	0.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 05	0.43	6.3	9.1	346	-9999.9	-9999.9	0.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 06	0.45	6.7	10.0	346	-9999.9	-9999.9	0.23	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 07	0.49	7.2	11.0	347	-9999.9	-9999.9	0.28	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 08	0.54	7.6	11.0	347	-9999.9	-9999.9	0.33	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 09	0.57	8.0	11.0	347	-9999.9	-9999.9	0.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 10	0.62	8.3	11.0	348	-9999.9	-9999.9	0.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 11	0.65	8.5	11.0	348	-9999.9	-9999.9	0.45	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 12	0.67	8.7	11.0	348	-9999.9	-9999.9	0.47	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 13	0.69	8.8	11.0	348	-9999.9	-9999.9	0.5	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 14	0.71	9.0	11.0	348	-9999.9	-9999.9	0.52	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 15	0.73	9.1	11.0	348	-9999.9	-9999.9	0.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 16	0.75	9.2	12.1	348	-9999.9	-9999.9	0.57	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 17	0.76	9.3	12.1	349	-9999.9	-9999.9	0.59	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 18	0.78	9.4	12.1	349	-9999.9	-9999.9	0.61	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 19	0.78	9.5	12.1	349	-9999.9	-9999.9	0.63	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 20	0.79	9.5	12.1	349	-9999.9	-9999.9	0.63	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 21	0.78	9.6	12.1	349	-9999.9	-9999.9	0.63	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 22	0.78	9.5	12.1	349	-9999.9	-9999.9	0.63	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2022 05 26 23	0.76	9.5	12.1	349	-9999.9	-9999.9	0.62	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
