Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2022 05 20 14	0.015	273.81
2022 05 20 15	0.013	274.39
2022 05 20 16	0.006	269.99
2022 05 20 17	0.001	90.0
2022 05 20 18	0.003	90.0
2022 05 20 19	0.002	269.99
2022 05 20 20	0.011	275.19
2022 05 20 21	0.025	272.29
2022 05 20 22	0.049	272.33
2022 05 20 23	0.081	272.82
2022 05 21 00	0.098	272.92
2022 05 21 01	0.104	272.75
2022 05 21 02	0.107	272.67
2022 05 21 03	0.097	272.95
2022 05 21 04	0.075	273.05
2022 05 21 05	0.053	273.23
2022 05 21 06	0.034	273.36
2022 05 21 07	0.016	273.57
2022 05 21 08	0.005	281.3
2022 05 21 09	0.005	281.3
2022 05 21 10	0.012	274.76
2022 05 21 11	0.033	273.46
2022 05 21 12	0.057	273.01
2022 05 21 13	0.08	272.86
2022 05 21 14	0.1	272.86
2022 05 21 15	0.113	272.53
2022 05 21 16	0.106	272.7
2022 05 21 17	0.091	272.51
2022 05 21 18	0.067	272.56
2022 05 21 19	0.037	273.09
2022 05 21 20	0.012	274.76
2022 05 21 21	0.01	90.0
2022 05 21 22	0.016	93.57
2022 05 21 23	0.003	90.0
2022 05 22 00	0.026	272.2
2022 05 22 01	0.068	272.52
2022 05 22 02	0.109	272.62
2022 05 22 03	0.132	272.6
2022 05 22 04	0.144	272.78
2022 05 22 05	0.143	272.8
2022 05 22 06	0.12	272.86
2022 05 22 07	0.086	272.66
2022 05 22 08	0.053	273.23
2022 05 22 09	0.024	272.38
2022 05 22 10	0.003	269.99
2022 05 22 11	0.01	90.0
2022 05 22 12	0.014	94.08
2022 05 22 13	0.014	94.08
2022 05 22 14	0.017	93.36
2022 05 22 15	0.018	93.17
2022 05 22 16	0.022	92.6
2022 05 22 17	0.037	93.09
2022 05 22 18	0.058	92.96
2022 05 22 19	0.072	92.38
2022 05 22 20	0.079	92.89
2022 05 22 21	0.079	92.89
2022 05 22 22	0.075	93.05
2022 05 22 23	0.07	92.45
2022 05 23 00	0.064	92.68
2022 05 23 01	0.06	92.86
2022 05 23 02	0.058	92.96
2022 05 23 03	0.06	92.86
2022 05 23 04	0.063	92.72
2022 05 23 05	0.067	92.56
2022 05 23 06	0.068	92.52
2022 05 23 07	0.068	92.52
2022 05 23 08	0.063	92.72
2022 05 23 09	0.058	92.96
2022 05 23 10	0.056	93.06
2022 05 23 11	0.061	92.81
2022 05 23 12	0.068	92.52
2022 05 23 13	0.076	93.01
2022 05 23 14	0.084	92.72
2022 05 23 15	0.094	93.04
2022 05 23 16	0.103	92.77
2022 05 23 17	0.107	92.67
2022 05 23 18	0.103	92.77
2022 05 23 19	0.1	92.86
2022 05 23 20	0.1	92.86
2022 05 23 21	0.1	92.86
2022 05 23 22	0.099	92.89
2022 05 23 23	0.097	92.95
2022 05 24 00	0.1	92.86
2022 05 24 01	0.104	92.75
2022 05 24 02	0.108	92.65
2022 05 24 03	0.114	92.51
2022 05 24 04	0.117	92.93
2022 05 24 05	0.117	92.93
2022 05 24 06	0.117	92.93
2022 05 24 07	0.116	92.96
2022 05 24 08	0.118	92.91
2022 05 24 09	0.122	92.81
2022 05 24 10	0.121	92.83
2022 05 24 11	0.118	92.91
2022 05 24 12	0.116	92.46
2022 05 24 13	0.115	92.48
2022 05 24 14	0.114	92.51
2022 05 24 15	0.114	92.51
2022 05 24 16	0.113	92.53
2022 05 24 17	0.11	92.6
2022 05 24 18	0.111	92.57
2022 05 24 19	0.106	92.7
2022 05 24 20	0.099	92.89
2022 05 24 21	0.093	92.46
2022 05 24 22	0.094	92.43
2022 05 24 23	0.095	92.41
2022 05 25 00	0.058	92.96
2022 05 25 01	0.064	92.68
2022 05 25 02	0.07	92.45
2022 05 25 03	0.078	92.93
2022 05 25 04	0.088	92.6
2022 05 25 05	0.093	92.46
2022 05 25 06	0.087	92.63
2022 05 25 07	0.082	92.79
2022 05 25 08	0.076	93.01
2022 05 25 09	0.071	92.41
2022 05 25 10	0.068	92.52
2022 05 25 11	0.065	92.64
2022 05 25 12	0.065	92.64
2022 05 25 13	0.067	92.56
2022 05 25 14	0.068	92.52
2022 05 25 15	0.067	92.56
2022 05 25 16	0.067	92.56
2022 05 25 17	0.066	92.6
2022 05 25 18	0.063	92.72
2022 05 25 19	0.063	92.72
2022 05 25 20	0.063	92.72
2022 05 25 21	0.063	92.72
2022 05 25 22	0.061	92.81
2022 05 25 23	0.056	93.06
2022 05 26 00	0.049	92.33
2022 05 26 01	0.044	92.6
2022 05 26 02	0.042	92.72
2022 05 26 03	0.042	92.72
2022 05 26 04	0.043	92.66
2022 05 26 05	0.045	92.54
2022 05 26 06	0.045	92.54
2022 05 26 07	0.041	92.79
2022 05 26 08	0.033	93.46
2022 05 26 09	0.024	92.38
2022 05 26 10	0.014	94.08
2022 05 26 11	0.001	90.0
2022 05 26 12	0.015	273.81
2022 05 26 13	0.037	273.09
2022 05 26 14	0.06	272.86
2022 05 26 15	0.076	273.01
2022 05 26 16	0.082	272.79
2022 05 26 17	0.077	272.97
2022 05 26 18	0.065	272.64
2022 05 26 19	0.054	273.17
2022 05 26 20	0.046	272.48
2022 05 26 21	0.041	272.79
2022 05 26 22	0.035	273.27
2022 05 26 23	0.03	273.81
2022 05 27 00	0.027	272.12
2022 05 27 01	0.028	274.08
2022 05 27 02	0.029	273.94
2022 05 27 03	0.03	273.81
2022 05 27 04	0.032	273.57
2022 05 27 05	0.035	273.27
2022 05 27 06	0.038	273.01
2022 05 27 07	0.046	272.48
2022 05 27 08	0.057	273.01
2022 05 27 09	0.071	272.41
2022 05 27 10	0.086	272.66
2022 05 27 11	0.09	272.54
2022 05 27 12	0.091	272.51
2022 05 27 13	0.099	272.89
2022 05 27 14	0.104	272.75
2022 05 27 15	0.102	272.8
2022 05 27 16	0.093	273.07
2022 05 27 17	0.084	272.72
2022 05 27 18	0.076	273.01
2022 05 27 19	0.071	272.41
2022 05 27 20	0.068	272.52
2022 05 27 21	0.067	272.56
2022 05 27 22	0.066	272.6
2022 05 27 23	0.065	272.64
2022 05 28 00	0.063	272.72
2022 05 28 01	0.062	272.77
2022 05 28 02	0.06	272.86
2022 05 28 03	0.056	273.06
2022 05 28 04	0.052	273.3
2022 05 28 05	0.049	273.5
2022 05 28 06	0.048	272.38
2022 05 28 07	0.053	273.23
2022 05 28 08	0.061	272.81
2022 05 28 09	0.074	272.32
2022 05 28 10	0.086	272.66
2022 05 28 11	0.092	272.48
2022 05 28 12	0.097	272.95
2022 05 28 13	0.097	272.95
2022 05 28 14	0.091	272.51
2022 05 28 15	0.082	272.79
2022 05 28 16	0.072	273.17
2022 05 28 17	0.062	272.77
2022 05 28 18	0.055	273.12
2022 05 28 19	0.048	272.38
2022 05 28 20	0.046	272.48
2022 05 28 21	0.045	272.54
2022 05 28 22	0.045	272.54
2022 05 28 23	0.045	272.54
2022 05 29 00	0.047	272.43
2022 05 29 01	0.048	272.38
2022 05 29 02	0.045	272.54
2022 05 29 03	0.042	272.72
2022 05 29 04	0.038	273.01
2022 05 29 05	0.036	273.17
2022 05 29 06	0.038	273.01
2022 05 29 07	0.051	272.24
2022 05 29 08	0.073	272.35
2022 05 29 09	0.079	272.89
2022 05 29 10	0.095	272.41
2022 05 29 11	0.104	272.75
2022 05 29 12	0.111	272.57
2022 05 29 13	0.111	272.57
2022 05 29 14	0.106	272.7
2022 05 29 15	0.096	272.98
2022 05 29 16	0.084	272.72
2022 05 29 17	0.072	273.17
2022 05 29 18	0.06	272.86
2022 05 29 19	0.049	272.33
2022 05 29 20	0.043	272.66
2022 05 29 21	0.041	272.79
2022 05 29 22	0.04	272.86
2022 05 29 23	0.037	273.09
2022 05 30 00	0.037	273.09
2022 05 30 01	0.042	272.72
2022 05 30 02	0.043	272.66
2022 05 30 03	0.042	272.72
2022 05 30 04	0.04	272.86
2022 05 30 05	0.039	272.93
2022 05 30 06	0.039	272.93
2022 05 30 07	0.045	272.54
2022 05 30 08	0.053	273.23
2022 05 30 09	0.061	272.81
2022 05 30 10	0.071	272.41
2022 05 30 11	0.078	272.93
2022 05 30 12	0.08	272.86
2022 05 30 13	0.079	272.89
2022 05 30 14	0.075	273.05
2022 05 30 15	0.067	272.56
2022 05 30 16	0.054	273.17
2022 05 30 17	0.041	272.79
2022 05 30 18	0.028	274.08
2022 05 30 19	0.014	274.08
2022 05 30 20	0.009	276.34
2022 05 30 21	0.018	273.17
2022 05 30 22	0.024	272.38
2022 05 30 23	0.034	273.36
2022 05 31 00	0.044	272.6
2022 05 31 01	0.052	272.2
2022 05 31 02	0.056	273.06
2022 05 31 03	0.057	273.01
2022 05 31 04	0.055	273.12
2022 05 31 05	0.05	273.43
2022 05 31 06	0.046	272.48
2022 05 31 07	0.046	272.48
2022 05 31 08	0.047	272.43
2022 05 31 09	0.052	273.3
2022 05 31 10	0.059	272.91
2022 05 31 11	0.065	272.64
2022 05 31 12	0.068	272.52
2022 05 31 13	0.063	272.72
2022 05 31 14	0.057	273.01
2022 05 31 15	0.055	273.12
2022 05 31 16	0.056	273.06
2022 05 31 17	0.054	273.17
2022 05 31 18	0.048	272.38
2022 05 31 19	0.039	272.93
2022 05 31 20	0.032	273.57
2022 05 31 21	0.026	272.2
2022 05 31 22	0.022	272.6
2022 05 31 23	0.025	272.29
2022 06 01 00	0.014	274.08
2022 06 01 01	0.016	273.57
2022 06 01 02	0.014	274.08
2022 06 01 03	0.01	275.71
2022 06 01 04	0.008	277.12
2022 06 01 05	0.008	269.99
2022 06 01 06	0.012	274.76
2022 06 01 07	0.025	272.29
2022 06 01 08	0.045	272.54
2022 06 01 09	0.056	273.06
2022 06 01 10	0.065	272.64
2022 06 01 11	0.078	272.93
2022 06 01 12	0.083	272.75
2022 06 01 13	0.069	272.48
2022 06 01 14	0.044	272.6
2022 06 01 15	0.019	273.01
2022 06 01 16	0.005	90.0
2022 06 01 17	0.026	92.2
2022 06 01 18	0.044	92.6
2022 06 01 19	0.058	92.96
2022 06 01 20	0.065	92.64
2022 06 01 21	0.061	92.81
2022 06 01 22	0.055	93.12
2022 06 01 23	0.034	93.36
2022 06 02 00	0.006	99.46
2022 06 02 01	0.018	273.17
2022 06 02 02	0.035	271.63
2022 06 02 03	0.041	272.79
2022 06 02 04	0.037	273.09
2022 06 02 05	0.025	272.29
2022 06 02 06	0.009	276.34
2022 06 02 07	0.007	90.0
2022 06 02 08	0.016	93.57
2022 06 02 09	0.015	93.81
2022 06 02 10	0.002	90.0
2022 06 02 11	0.026	272.2
2022 06 02 12	0.055	273.12
2022 06 02 13	0.062	272.77
2022 06 02 14	0.064	272.68
2022 06 02 15	0.058	272.96
2022 06 02 16	0.044	272.6
2022 06 02 17	0.03	271.9
2022 06 02 18	0.019	273.01
2022 06 02 19	0.011	275.19
2022 06 02 20	0.003	269.99
2022 06 02 21	0.004	90.0
2022 06 02 22	0.014	94.08
2022 06 02 23	0.03	91.9
2022 06 03 00	0.045	92.54
2022 06 03 01	0.056	93.06
2022 06 03 02	0.061	92.81
2022 06 03 03	0.06	92.86
2022 06 03 04	0.056	93.06
2022 06 03 05	0.053	93.23
2022 06 03 06	0.049	92.33
2022 06 03 07	0.039	92.93
2022 06 03 08	0.028	92.04
2022 06 03 09	0.016	93.57
2022 06 03 10	0.004	90.0
2022 06 03 11	0.005	269.99
2022 06 03 12	0.01	269.99
2022 06 03 13	0.003	90.0
2022 06 03 14	0.014	94.08
2022 06 03 15	0.021	92.72
2022 06 03 16	0.038	93.01
2022 06 03 17	0.077	92.97
2022 06 03 18	0.096	92.38
2022 06 03 19	0.1	92.86
2022 06 03 20	0.091	92.51
2022 06 03 21	0.084	92.72
2022 06 03 22	0.072	92.38
2022 06 03 23	0.062	92.77
2022 06 04 00	0.049	92.33
2022 06 04 01	0.037	93.09
2022 06 04 02	0.03	93.81
2022 06 04 03	0.03	93.81
2022 06 04 04	0.034	93.36
2022 06 04 05	0.043	92.66
2022 06 04 06	0.054	92.12
2022 06 04 07	0.066	92.6
2022 06 04 08	0.075	92.29
2022 06 04 09	0.08	92.86
2022 06 04 10	0.08	92.86
2022 06 04 11	0.08	92.86
2022 06 04 12	0.076	93.01
2022 06 04 13	0.072	93.17
2022 06 04 14	0.067	92.56
2022 06 04 15	0.062	92.77
2022 06 04 16	0.058	92.96
2022 06 04 17	0.054	93.17
2022 06 04 18	0.053	93.23
2022 06 04 19	0.054	93.17
2022 06 04 20	0.058	92.96
2022 06 04 21	0.061	92.81
2022 06 04 22	0.066	92.6
2022 06 04 23	0.077	92.97
2022 06 05 00	0.083	92.75
2022 06 05 01	0.085	92.69
2022 06 05 02	0.086	92.66
2022 06 05 03	0.085	92.69
2022 06 05 04	0.081	92.82
2022 06 05 05	0.077	92.97
2022 06 05 06	0.076	93.01
2022 06 05 07	0.075	93.05
2022 06 05 08	0.073	93.13
2022 06 05 09	0.067	92.56
2022 06 05 10	0.062	92.77
2022 06 05 11	0.057	93.01
2022 06 05 12	0.052	93.3
2022 06 05 13	0.048	92.38
2022 06 05 14	0.045	92.54
2022 06 05 15	0.044	92.6
2022 06 05 16	0.044	92.6
2022 06 05 17	0.045	92.54
2022 06 05 18	0.046	92.48
2022 06 05 19	0.046	92.48
2022 06 05 20	0.047	92.43
2022 06 05 21	0.047	92.43
2022 06 05 22	0.043	92.66
2022 06 05 23	0.035	93.27
2022 06 06 00	0.019	93.01
2022 06 06 01	0.006	90.0
2022 06 06 02	0.0	0.0
2022 06 06 03	0.001	269.99
2022 06 06 04	0.002	90.0
2022 06 06 05	0.006	90.0
2022 06 06 06	0.013	90.0
2022 06 06 07	0.021	92.72
2022 06 06 08	0.029	91.97
2022 06 06 09	0.036	91.59
2022 06 06 10	0.04	92.86
2022 06 06 11	0.042	92.72
2022 06 06 12	0.043	92.66
2022 06 06 13	0.041	92.79
2022 06 06 14	0.04	92.86
2022 06 06 15	0.039	92.93
2022 06 06 16	0.039	92.93
2022 06 06 17	0.039	92.93
2022 06 06 18	0.041	92.79
2022 06 06 19	0.053	93.23
2022 06 06 20	0.068	92.52
2022 06 06 21	0.074	93.09
2022 06 06 22	0.077	92.97
2022 06 06 23	0.086	92.66
2022 06 07 00	0.081	92.82
2022 06 07 01	0.084	92.72
2022 06 07 02	0.085	92.69
2022 06 07 03	0.085	92.69
2022 06 07 04	0.083	92.75
2022 06 07 05	0.077	92.97
2022 06 07 06	0.071	93.22
2022 06 07 07	0.062	92.77
2022 06 07 08	0.051	93.36
2022 06 07 09	0.043	92.66
2022 06 07 10	0.035	93.27
2022 06 07 11	0.025	92.29
2022 06 07 12	0.014	94.08
2022 06 07 13	0.003	90.0
2022 06 07 14	0.007	269.99
2022 06 07 15	0.016	273.57
2022 06 07 16	0.022	272.6
2022 06 07 17	0.023	272.48
2022 06 07 18	0.022	272.6
2022 06 07 19	0.018	273.17
2022 06 07 20	0.012	274.76
2022 06 07 21	0.001	269.99
2022 06 07 22	0.013	90.0
2022 06 07 23	0.026	92.2
2022 06 08 00	0.029	91.97
2022 06 08 01	0.031	91.84
2022 06 08 02	0.03	91.9
2022 06 08 03	0.028	92.04
2022 06 08 04	0.026	92.2
2022 06 08 05	0.025	92.29
2022 06 08 06	0.026	92.2
2022 06 08 07	0.03	91.9
2022 06 08 08	0.039	92.93
2022 06 08 09	0.051	93.36
2022 06 08 10	0.068	92.52
2022 06 08 11	0.061	92.81
2022 06 08 12	0.066	92.6
2022 06 08 13	0.067	92.56
2022 06 08 14	0.067	92.56
2022 06 08 15	0.069	92.48
2022 06 08 16	0.067	92.56
2022 06 08 17	0.064	92.68
2022 06 08 18	0.057	93.01
2022 06 08 19	0.05	92.29
2022 06 08 20	0.045	92.54
2022 06 08 21	0.037	93.09
2022 06 08 22	0.03	91.9
2022 06 08 23	0.027	92.12
2022 06 09 00	0.031	91.84
2022 06 09 01	0.04	92.86
2022 06 09 02	0.051	92.24
2022 06 09 03	0.06	92.86
2022 06 09 04	0.065	92.64
2022 06 09 05	0.068	92.52
2022 06 09 06	0.069	92.48
2022 06 09 07	0.066	92.6
2022 06 09 08	0.061	92.81
2022 06 09 09	0.053	93.23
2022 06 09 10	0.043	92.66
2022 06 09 11	0.031	93.69
2022 06 09 12	0.02	92.86
2022 06 09 13	0.01	95.71
2022 06 09 14	0.001	90.0
2022 06 09 15	0.006	269.99
2022 06 09 16	0.011	275.19
2022 06 09 17	0.012	274.76
2022 06 09 18	0.009	276.34
2022 06 09 19	0.005	269.99
2022 06 09 20	0.001	269.99
2022 06 09 21	0.002	269.99
2022 06 09 22	0.006	269.99
2022 06 09 23	0.013	274.39
2022 06 10 00	0.025	272.29
2022 06 10 01	0.038	273.01
2022 06 10 02	0.049	272.33
2022 06 10 03	0.056	273.06
2022 06 10 04	0.06	272.86
2022 06 10 05	0.06	272.86
2022 06 10 06	0.057	273.01
2022 06 10 07	0.054	273.17
2022 06 10 08	0.052	273.3
2022 06 10 09	0.051	273.36
2022 06 10 10	0.05	273.43
2022 06 10 11	0.049	272.33
2022 06 10 12	0.056	273.06
2022 06 10 13	0.065	272.64
2022 06 10 14	0.073	272.35
2022 06 10 15	0.075	273.05
2022 06 10 16	0.072	272.38
2022 06 10 17	0.064	272.68
2022 06 10 18	0.05	272.29
2022 06 10 19	0.027	272.12
2022 06 10 20	0.004	269.99
2022 06 10 21	0.015	93.81
2022 06 10 22	0.028	92.04
2022 06 10 23	0.034	91.68
2022 06 11 00	0.028	92.04
2022 06 11 01	0.013	94.39
2022 06 11 02	0.01	269.99
2022 06 11 03	0.03	271.9
2022 06 11 04	0.041	272.79
2022 06 11 05	0.042	272.72
2022 06 11 06	0.037	273.09
2022 06 11 07	0.028	272.04
2022 06 11 08	0.02	272.86
2022 06 11 09	0.014	274.08
2022 06 11 10	0.012	274.76
2022 06 11 11	0.017	273.36
2022 06 11 12	0.031	273.69
2022 06 11 13	0.054	273.17
2022 06 11 14	0.08	272.86
2022 06 11 15	0.101	272.83
2022 06 11 16	0.107	272.67
2022 06 11 17	0.096	272.98
2022 06 11 18	0.09	272.54
2022 06 11 19	0.084	272.72
2022 06 11 20	0.072	273.17
2022 06 11 21	0.052	273.3
2022 06 11 22	0.033	273.46
2022 06 11 23	0.016	273.57
2022 06 12 00	0.018	273.17
2022 06 12 01	0.028	272.04
2022 06 12 02	0.042	272.72
2022 06 12 03	0.058	272.96
2022 06 12 04	0.07	272.45
2022 06 12 05	0.07	272.45
2022 06 12 06	0.066	272.6
2022 06 12 07	0.061	272.81
2022 06 12 08	0.055	273.12
2022 06 12 09	0.053	273.23
2022 06 12 10	0.058	272.96
2022 06 12 11	0.062	272.77
2022 06 12 12	0.063	272.72
2022 06 12 13	0.045	272.54
2022 06 12 14	0.051	272.24
2022 06 12 15	0.069	272.48
2022 06 12 16	0.081	272.82
2022 06 12 17	0.074	272.32
2022 06 12 18	0.054	273.17
2022 06 12 19	0.031	273.69
2022 06 12 20	0.006	269.99
2022 06 12 21	0.016	93.57
2022 06 12 22	0.038	93.01
2022 06 12 23	0.05	92.29
2022 06 13 00	0.052	92.2
2022 06 13 01	0.042	92.72
2022 06 13 02	0.024	92.38
2022 06 13 03	0.001	90.0
2022 06 13 04	0.021	272.72
2022 06 13 05	0.034	273.36
2022 06 13 06	0.037	273.09
2022 06 13 07	0.037	273.09
2022 06 13 08	0.034	273.36
2022 06 13 09	0.031	273.69
2022 06 13 10	0.03	271.9
2022 06 13 11	0.035	273.27
2022 06 13 12	0.044	272.6
2022 06 13 13	0.049	272.33
2022 06 13 14	0.061	272.81
2022 06 13 15	0.076	273.01
2022 06 13 16	0.092	272.48
2022 06 13 17	0.105	272.72
2022 06 13 18	0.106	272.7
2022 06 13 19	0.098	272.92
2022 06 13 20	0.088	272.6
2022 06 13 21	0.077	272.97
2022 06 13 22	0.064	272.68
2022 06 13 23	0.044	272.6
2022 06 14 00	0.012	274.76
2022 06 14 01	0.016	93.57
2022 06 14 02	0.035	91.63
2022 06 14 03	0.041	92.79
2022 06 14 04	0.039	92.93
2022 06 14 05	0.034	93.36
2022 06 14 06	0.03	91.9
2022 06 14 07	0.018	93.17
2022 06 14 08	0.006	269.99
2022 06 14 09	0.031	271.84
2022 06 14 10	0.05	272.29
2022 06 14 11	0.064	272.68
2022 06 14 12	0.072	272.38
2022 06 14 13	0.067	272.56
2022 06 14 14	0.049	272.33
2022 06 14 15	0.021	272.72
2022 06 14 16	0.015	93.81
2022 06 14 17	0.059	92.91
2022 06 14 18	0.102	92.8
2022 06 14 19	0.094	92.43
2022 06 14 20	0.085	92.69
2022 06 14 21	0.068	92.52
2022 06 14 22	0.049	93.5
2022 06 14 23	0.023	92.48
2022 06 15 00	0.008	269.99
2022 06 15 01	0.012	269.99
2022 06 15 02	0.015	269.99
2022 06 15 03	0.013	269.99
2022 06 15 04	0.004	269.99
2022 06 15 05	0.009	90.0
2022 06 15 06	0.024	92.38
2022 06 15 07	0.039	92.93
2022 06 15 08	0.048	92.38
2022 06 15 09	0.05	92.29
2022 06 15 10	0.046	92.48
2022 06 15 11	0.037	93.09
2022 06 15 12	0.025	92.29
2022 06 15 13	0.005	90.0
2022 06 15 14	0.022	272.6
2022 06 15 15	0.052	272.2
2022 06 15 16	0.08	272.86
2022 06 15 17	0.096	272.98
2022 06 15 18	0.079	272.89
2022 06 15 19	0.057	273.01
2022 06 15 20	0.035	273.27
2022 06 15 21	0.023	272.48
2022 06 15 22	0.018	273.17
2022 06 15 23	0.013	274.39
2022 06 16 00	0.004	269.99
2022 06 16 01	0.005	269.99
2022 06 16 02	0.007	269.99
2022 06 16 03	0.01	275.71
2022 06 16 04	0.018	273.17
2022 06 16 05	0.026	272.2
2022 06 16 06	0.033	273.46
2022 06 16 07	0.038	273.01
2022 06 16 08	0.035	273.27
2022 06 16 09	0.028	274.08
2022 06 16 10	0.026	272.2
2022 06 16 11	0.025	272.29
2022 06 16 12	0.026	272.2
2022 06 16 13	0.029	273.94
2022 06 16 14	0.031	273.69
2022 06 16 15	0.032	273.57
2022 06 16 16	0.035	273.27
2022 06 16 17	0.032	273.57
2022 06 16 18	0.015	273.81
2022 06 16 19	0.044	92.6
2022 06 16 20	0.069	92.48
2022 06 16 21	0.083	92.75
2022 06 16 22	0.089	92.57
2022 06 16 23	0.085	92.69
2022 06 17 00	0.07	92.45
2022 06 17 01	0.052	93.3
2022 06 17 02	0.028	94.08
2022 06 17 03	0.0	0.0
2022 06 17 04	0.033	271.73
2022 06 17 05	0.066	272.6
2022 06 17 06	0.094	272.43
2022 06 17 07	0.101	272.83
2022 06 17 08	0.091	272.51
2022 06 17 09	0.069	272.48
2022 06 17 10	0.043	272.66
2022 06 17 11	0.011	275.19
2022 06 17 12	0.008	90.0
2022 06 17 13	0.024	92.38
2022 06 17 14	0.036	91.59
2022 06 17 15	0.042	92.72
2022 06 17 16	0.041	92.79
2022 06 17 17	0.037	93.09
2022 06 17 18	0.03	91.9
2022 06 17 19	0.011	90.0
2022 06 17 20	0.001	90.0
2022 06 17 21	0.003	269.99
2022 06 17 22	0.004	269.99
2022 06 17 23	0.005	90.0
2022 06 18 00	0.015	93.81
2022 06 18 01	0.019	93.01
2022 06 18 02	0.022	92.6
2022 06 18 03	0.023	92.48
2022 06 18 04	0.025	92.29
2022 06 18 05	0.028	92.04
2022 06 18 06	0.033	91.73
2022 06 18 07	0.038	93.01
2022 06 18 08	0.042	92.72
2022 06 18 09	0.043	92.66
2022 06 18 10	0.05	92.29
2022 06 18 11	0.058	92.96
2022 06 18 12	0.067	92.56
2022 06 18 13	0.078	92.93
2022 06 18 14	0.085	92.69
2022 06 18 15	0.096	92.98
2022 06 18 16	0.099	92.89
2022 06 18 17	0.1	92.86
2022 06 18 18	0.101	92.83
2022 06 18 19	0.09	92.54
2022 06 18 20	0.082	92.79
2022 06 18 21	0.086	92.66
2022 06 18 22	0.098	92.92
2022 06 18 23	0.107	92.67
2022 06 19 00	0.102	92.8
2022 06 19 01	0.095	93.01
2022 06 19 02	0.088	92.6
2022 06 19 03	0.083	92.75
2022 06 19 04	0.079	92.89
2022 06 19 05	0.076	93.01
2022 06 19 06	0.071	92.41
2022 06 19 07	0.065	92.64
2022 06 19 08	0.06	92.86
2022 06 19 09	0.057	93.01
2022 06 19 10	0.053	92.16
2022 06 19 11	0.045	92.54
2022 06 19 12	0.035	93.27
2022 06 19 13	0.036	93.17
2022 06 19 14	0.041	92.79
2022 06 19 15	0.052	93.3
2022 06 19 16	0.068	92.52
2022 06 19 17	0.075	93.05
2022 06 19 18	0.083	92.75
2022 06 19 19	0.091	92.51
2022 06 19 20	0.097	92.95
2022 06 19 21	0.099	92.89
2022 06 19 22	0.099	92.89
2022 06 19 23	0.099	92.89
2022 06 20 00	0.099	92.89
2022 06 20 01	0.099	92.89
2022 06 20 02	0.092	92.48
2022 06 20 03	0.079	92.89
2022 06 20 04	0.076	93.01
2022 06 20 05	0.068	92.52
2022 06 20 06	0.062	92.77
2022 06 20 07	0.057	93.01
2022 06 20 08	0.052	92.2
2022 06 20 09	0.051	92.24
2022 06 20 10	0.051	92.24
2022 06 20 11	0.051	92.24
2022 06 20 12	0.05	92.29
2022 06 20 13	0.053	92.16
2022 06 20 14	0.059	92.91
2022 06 20 15	0.057	93.01
2022 06 20 16	0.051	92.24
2022 06 20 17	0.046	92.48
2022 06 20 18	0.041	92.79
2022 06 20 19	0.039	92.93
2022 06 20 20	0.037	93.09
2022 06 20 21	0.036	93.17
2022 06 20 22	0.038	93.01
2022 06 20 23	0.042	92.72
2022 06 21 00	0.046	92.48
2022 06 21 01	0.049	92.33
2022 06 21 02	0.048	92.38
2022 06 21 03	0.043	92.66
2022 06 21 04	0.036	93.17
2022 06 21 05	0.029	91.97
2022 06 21 06	0.022	92.6
2022 06 21 07	0.016	93.57
2022 06 21 08	0.011	90.0
2022 06 21 09	0.007	90.0
2022 06 21 10	0.005	90.0
2022 06 21 11	0.004	90.0
2022 06 21 12	0.005	90.0
2022 06 21 13	0.008	90.0
2022 06 21 14	0.01	95.71
2022 06 21 15	0.011	95.19
2022 06 21 16	0.013	94.39
2022 06 21 17	0.014	94.08
2022 06 21 18	0.014	94.08
2022 06 21 19	0.011	95.19
2022 06 21 20	0.011	95.19
2022 06 21 21	0.023	92.48
2022 06 21 22	0.037	93.09
2022 06 21 23	0.052	92.2
2022 06 22 00	0.044	92.6
2022 06 22 01	0.062	92.77
2022 06 22 02	0.068	92.52
2022 06 22 03	0.073	92.35
2022 06 22 04	0.074	93.09
2022 06 22 05	0.074	93.09
2022 06 22 06	0.07	92.45
2022 06 22 07	0.062	92.77
2022 06 22 08	0.052	93.3
2022 06 22 09	0.043	92.66
2022 06 22 10	0.03	91.9
2022 06 22 11	0.02	92.86
2022 06 22 12	0.015	93.81
2022 06 22 13	0.016	93.57
2022 06 22 14	0.021	92.72
2022 06 22 15	0.033	93.46
2022 06 22 16	0.043	92.66
2022 06 22 17	0.042	92.72
2022 06 22 18	0.035	93.27
2022 06 22 19	0.024	92.38
2022 06 22 20	0.011	95.19
2022 06 22 21	0.001	90.0
2022 06 22 22	0.008	269.99
2022 06 22 23	0.013	274.39
2022 06 24 00	0.059	92.91
2022 06 24 01	0.057	93.01
2022 06 24 02	0.056	93.06
2022 06 24 03	0.055	93.12
2022 06 24 04	0.051	92.24
2022 06 24 05	0.045	92.54
2022 06 24 06	0.037	93.09
2022 06 24 07	0.027	92.12
2022 06 24 08	0.017	93.36
2022 06 24 09	0.007	90.0
2022 06 24 10	0.004	269.99
2022 06 24 11	0.018	273.17
2022 06 24 12	0.037	273.09
2022 06 24 13	0.041	272.79
2022 06 24 14	0.037	273.09
2022 06 24 15	0.036	273.17
2022 06 24 16	0.035	273.27
