Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2019 12 22 04	0.099	91.93
2019 12 22 05	0.09	92.1
2019 12 22 06	0.08	91.9
2019 12 22 07	0.07	92.17
2019 12 22 08	0.063	92.42
2019 12 22 09	0.057	91.98
2019 12 22 10	0.054	91.73
2019 12 22 11	0.054	91.39
2019 12 22 12	0.056	91.34
2019 12 22 13	0.063	91.49
2019 12 22 14	0.07	91.34
2019 12 22 15	0.076	91.5
2019 12 22 16	0.082	92.08
2019 12 22 17	0.091	92.08
2019 12 22 18	0.101	92.45
2019 12 22 19	0.102	92.62
2019 12 22 20	0.097	92.36
2019 12 22 21	0.09	92.53
2019 12 22 22	0.084	92.48
2019 12 22 23	0.078	91.94
2019 12 23 00	0.074	92.04
2019 12 23 01	0.068	91.94
2019 12 23 02	0.064	91.77
2019 12 23 03	0.06	91.58
2019 12 23 04	0.056	91.02
2019 12 23 05	0.051	91.12
2019 12 23 06	0.043	91.3
2019 12 23 07	0.036	91.05
2019 12 23 08	0.028	91.35
2019 12 23 09	0.019	91.94
2019 12 23 10	0.013	88.6
2019 12 23 11	0.009	86.06
2019 12 23 12	0.008	83.17
2019 12 23 13	0.011	83.49
2019 12 23 14	0.017	84.41
2019 12 23 15	0.023	87.59
2019 12 23 16	0.029	88.06
2019 12 23 17	0.033	88.86
2019 12 23 18	0.034	89.45
2019 12 23 19	0.03	90.0
2019 12 23 20	0.024	90.77
2019 12 23 21	0.017	92.16
2019 12 23 22	0.011	88.36
2019 12 23 23	0.007	87.62
2019 12 24 00	0.006	84.3
2019 12 24 01	0.009	83.67
2019 12 24 02	0.012	85.5
2019 12 24 03	0.018	87.9
2019 12 24 04	0.024	88.44
2019 12 24 05	0.03	89.38
2019 12 24 06	0.035	91.08
2019 12 24 07	0.037	91.55
2019 12 24 08	0.036	92.65
2019 12 24 09	0.032	92.98
2019 12 24 10	0.025	92.23
2019 12 24 11	0.019	93.01
2019 12 24 12	0.012	93.01
2019 12 24 13	0.009	87.88
2019 12 24 14	0.009	83.68
2019 12 24 15	0.01	82.43
2019 12 24 16	0.012	82.12
2019 12 24 17	0.015	83.68
2019 12 24 18	0.018	86.84
2019 12 24 19	0.021	89.13
2019 12 24 20	0.024	90.0
2019 12 24 21	0.024	90.79
2019 12 24 22	0.02	91.88
2019 12 24 23	0.015	92.49
2019 12 25 00	0.009	88.03
2019 12 25 01	0.006	83.68
2019 12 25 02	0.004	77.94
2019 12 25 03	0.003	70.07
2019 12 25 04	0.001	26.56
2019 12 25 05	0.003	298.92
2019 12 25 06	0.004	288.34
2019 12 25 07	0.007	282.23
2019 12 25 08	0.012	276.0
2019 12 25 09	0.016	274.75
2019 12 25 10	0.019	272.96
2019 12 25 11	0.024	272.35
2019 12 25 12	0.027	272.78
2019 12 25 13	0.027	273.52
2019 12 25 14	0.02	275.6
2019 12 25 15	0.009	282.5
2019 12 25 16	0.002	60.38
2019 12 25 17	0.011	83.5
2019 12 25 18	0.018	88.99
2019 12 25 19	0.023	89.19
2019 12 25 20	0.022	90.84
2019 12 25 21	0.019	91.94
2019 12 25 22	0.018	92.12
2019 12 25 23	0.016	93.57
2019 12 26 00	0.02	93.8
2019 12 26 01	0.021	92.68
2019 12 26 02	0.024	92.35
2019 12 26 03	0.025	92.23
2019 12 26 04	0.027	92.09
2019 12 26 05	0.028	91.33
2019 12 26 06	0.032	92.34
2019 12 26 07	0.036	92.6
2019 12 26 08	0.04	92.81
2019 12 26 09	0.041	93.22
2019 12 26 10	0.039	93.39
2019 12 26 11	0.034	93.88
2019 12 26 12	0.029	93.24
2019 12 26 13	0.025	93.04
2019 12 26 14	0.022	92.56
2019 12 26 15	0.022	90.84
2019 12 26 16	0.025	90.75
2019 12 26 17	0.028	90.0
2019 12 26 18	0.028	90.0
2019 12 26 19	0.03	90.0
2019 12 26 20	0.032	90.0
2019 12 26 21	0.033	90.56
2019 12 26 22	0.031	91.8
2019 12 26 23	0.026	92.2
2019 12 27 00	0.018	93.12
2019 12 27 01	0.011	90.0
2019 12 27 02	0.006	86.82
2019 12 27 03	0.004	81.27
2019 12 27 04	0.006	80.56
2019 12 27 05	0.01	82.89
2019 12 27 06	0.017	87.81
2019 12 27 07	0.022	88.33
2019 12 27 08	0.025	89.25
2019 12 27 09	0.022	90.86
2019 12 27 10	0.015	92.55
2019 12 27 11	0.005	90.0
2019 12 27 12	0.007	87.23
2019 12 27 13	0.018	272.08
2019 12 27 14	0.03	271.9
2019 12 27 15	0.038	273.01
2019 12 27 16	0.044	272.98
2019 12 27 17	0.047	273.19
2019 12 27 18	0.049	273.49
2019 12 27 19	0.047	273.64
2019 12 27 20	0.042	273.6
2019 12 27 21	0.037	273.54
2019 12 27 22	0.036	273.18
2019 12 27 23	0.038	272.51
2019 12 28 00	0.042	272.27
2019 12 28 01	0.048	271.96
2019 12 28 02	0.054	272.44
2019 12 28 03	0.06	272.54
2019 12 28 04	0.062	272.77
2019 12 28 05	0.062	273.04
2019 12 28 06	0.06	273.17
2019 12 28 07	0.055	273.81
2019 12 28 08	0.048	273.15
2019 12 28 09	0.041	273.2
2019 12 28 10	0.038	272.96
2019 12 28 11	0.039	272.4
2019 12 28 12	0.044	272.17
2019 12 28 13	0.05	271.88
2019 12 28 14	0.057	272.33
2019 12 28 15	0.062	272.46
2019 12 28 16	0.064	272.65
2019 12 28 17	0.064	272.94
2019 12 28 18	0.06	273.45
2019 12 28 19	0.054	273.83
2019 12 28 20	0.046	273.72
2019 12 28 21	0.037	274.08
2019 12 28 22	0.031	274.25
2019 12 28 23	0.028	272.72
2019 12 29 00	0.03	271.9
2019 12 29 01	0.034	272.8
2019 12 29 02	0.039	272.4
2019 12 29 03	0.046	272.47
2019 12 29 04	0.05	272.67
2019 12 29 05	0.051	273.32
2019 12 29 06	0.05	273.0
2019 12 29 07	0.046	273.67
2019 12 29 08	0.04	274.21
2019 12 29 09	0.033	274.61
2019 12 29 10	0.025	273.7
2019 12 29 11	0.02	273.74
2019 12 29 12	0.019	272.96
2019 12 29 13	0.021	272.64
2019 12 29 14	0.025	272.23
2019 12 29 15	0.03	272.48
2019 12 29 16	0.035	273.24
2019 12 29 17	0.038	273.51
2019 12 29 18	0.038	273.94
2019 12 29 19	0.036	274.19
2019 12 29 20	0.031	275.4
2019 12 29 21	0.024	274.62
2019 12 29 22	0.017	275.48
2019 12 29 23	0.013	275.7
2019 12 30 00	0.012	274.51
2019 12 30 01	0.015	273.65
2019 12 30 02	0.019	272.91
2019 12 30 03	0.024	272.35
2019 12 30 04	0.029	272.63
2019 12 30 05	0.031	274.21
2019 12 30 06	0.032	274.12
2019 12 30 07	0.03	275.01
2019 12 30 08	0.027	274.17
2019 12 30 09	0.021	275.26
2019 12 30 10	0.015	276.06
2019 12 30 11	0.01	277.34
2019 12 30 12	0.008	272.28
2019 12 30 13	0.008	272.19
2019 12 30 14	0.009	271.9
2019 12 30 15	0.008	272.11
2019 12 30 16	0.002	279.46
2019 12 30 17	0.01	91.8
2019 12 30 18	0.022	90.86
2019 12 30 19	0.028	91.33
2019 12 30 20	0.031	92.46
2019 12 30 21	0.038	92.01
2019 12 30 22	0.043	92.22
2019 12 30 23	0.045	92.52
2019 12 31 00	0.046	92.86
2019 12 31 01	0.047	92.82
2019 12 31 02	0.045	93.33
2019 12 31 03	0.04	93.8
2019 12 31 04	0.033	94.0
2019 12 31 05	0.026	92.85
2019 12 31 06	0.022	92.56
2019 12 31 07	0.02	91.88
2019 12 31 08	0.021	90.9
2019 12 31 09	0.025	90.76
2019 12 31 10	0.03	90.0
2019 12 31 11	0.036	91.59
2019 12 31 12	0.04	91.88
2019 12 31 13	0.043	91.75
2019 12 31 14	0.045	92.09
2019 12 31 15	0.044	92.6
2019 12 31 16	0.041	92.77
2019 12 31 17	0.038	92.96
2019 12 31 18	0.035	92.7
2019 12 31 19	0.032	91.77
2019 12 31 20	0.029	91.27
2019 12 31 21	0.03	90.62
2019 12 31 22	0.033	90.57
2019 12 31 23	0.037	91.54
2020 01 01 00	0.035	91.62
2020 01 01 01	0.038	91.97
2020 01 01 02	0.039	92.4
2020 01 01 03	0.038	92.47
2020 01 01 04	0.035	92.72
2020 01 01 05	0.03	91.86
2020 01 01 06	0.028	91.36
2020 01 01 07	0.025	91.49
2020 01 01 08	0.023	90.82
2020 01 01 09	0.021	90.88
2020 01 01 10	0.018	90.01
2020 01 01 11	0.015	91.22
2020 01 01 12	0.011	88.41
2020 01 01 13	0.008	90.0
2020 01 01 14	0.005	90.0
2020 01 01 15	0.0	90.0
2020 01 01 16	0.003	99.43
2020 01 01 17	0.005	273.79
2020 01 01 18	0.005	277.55
2020 01 01 19	0.003	285.15
2020 01 01 20	0.001	359.64
2020 01 01 21	0.005	72.68
2020 01 01 22	0.011	81.89
2020 01 01 23	0.018	87.93
2020 01 02 00	0.024	88.42
2020 01 02 01	0.029	90.0
2020 01 02 02	0.034	90.56
2020 01 02 03	0.037	91.55
2020 01 02 04	0.038	91.97
2020 01 02 05	0.038	92.47
2020 01 02 06	0.037	92.53
2020 01 02 07	0.033	92.83
2020 01 02 08	0.032	91.77
2020 01 02 09	0.035	92.7
2020 01 02 10	0.04	92.36
2020 01 02 11	0.044	92.6
2020 01 02 12	0.046	92.47
2020 01 02 13	0.051	92.24
2020 01 02 14	0.053	93.21
2020 01 02 15	0.051	92.58
2020 01 02 16	0.047	92.4
2020 01 02 17	0.042	92.72
2020 01 02 18	0.034	92.75
2020 01 02 19	0.027	90.68
2020 01 02 20	0.023	90.01
2020 01 02 21	0.021	90.01
2020 01 02 22	0.024	89.23
2020 01 02 23	0.03	89.38
2020 01 03 00	0.037	91.02
2020 01 03 01	0.044	91.29
2020 01 03 02	0.05	91.51
2020 01 03 03	0.053	91.79
2020 01 03 04	0.053	92.16
2020 01 03 05	0.049	92.7
2020 01 03 06	0.044	92.56
2020 01 03 07	0.04	92.86
2020 01 03 08	0.036	93.12
2020 01 03 09	0.035	92.72
2020 01 03 10	0.035	92.7
2020 01 03 11	0.037	92.05
2020 01 03 12	0.042	91.82
2020 01 03 13	0.049	91.95
2020 01 03 14	0.057	92.66
2020 01 03 15	0.064	92.68
2020 01 03 16	0.069	92.76
2020 01 03 17	0.07	92.96
2020 01 03 18	0.069	93.01
2020 01 03 19	0.066	93.17
2020 01 03 20	0.063	93.01
2020 01 03 21	0.06	93.17
2020 01 03 22	0.059	92.89
2020 01 03 23	0.059	92.89
2020 01 04 00	0.061	92.5
2020 01 04 01	0.064	92.68
2020 01 04 02	0.066	92.57
2020 01 04 03	0.066	92.86
2020 01 04 04	0.064	92.98
2020 01 04 05	0.06	93.17
2020 01 04 06	0.054	93.53
2020 01 04 07	0.048	93.15
2020 01 04 08	0.043	93.51
2020 01 04 09	0.038	93.45
2020 01 04 10	0.034	92.24
2020 01 04 11	0.028	92.69
2020 01 04 12	0.023	92.45
2020 01 04 13	0.019	91.91
2020 01 04 14	0.016	92.25
2020 01 04 15	0.014	90.0
2020 01 04 16	0.01	90.0
2020 01 04 17	0.007	90.0
2020 01 04 18	0.002	81.86
2020 01 04 19	0.002	288.29
2020 01 04 20	0.004	279.4
2020 01 04 21	0.004	282.03
2020 01 04 22	0.004	288.34
2020 01 04 23	0.002	299.61
2020 01 05 00	0.004	288.36
2020 01 05 01	0.005	283.98
2020 01 05 02	0.003	289.92
2020 01 05 03	0.001	323.13
2020 01 05 04	0.001	59.22
2020 01 05 05	0.003	73.39
2020 01 05 06	0.002	66.94
2020 01 05 07	0.001	300.96
2020 01 05 08	0.009	276.31
2020 01 05 09	0.017	275.38
2020 01 05 10	0.025	273.75
2020 01 05 11	0.032	274.75
2020 01 05 12	0.035	274.31
2020 01 05 13	0.037	274.04
2020 01 05 14	0.037	274.04
2020 01 05 15	0.038	274.01
2020 01 05 16	0.038	273.51
2020 01 05 17	0.039	273.39
2020 01 05 18	0.042	272.7
2020 01 05 19	0.045	272.52
2020 01 05 20	0.048	272.38
2020 01 05 21	0.048	272.74
2020 01 05 22	0.047	272.84
2020 01 05 23	0.043	273.49
2020 01 06 00	0.039	273.9
2020 01 06 01	0.031	274.86
2020 01 06 02	0.021	275.26
2020 01 06 03	0.009	278.4
2020 01 06 04	0.006	81.51
2020 01 06 05	0.022	90.87
2020 01 06 06	0.028	92.04
2020 01 06 07	0.028	92.65
2020 01 06 08	0.025	93.0
2020 01 06 09	0.02	93.68
2020 01 06 10	0.016	94.66
2020 01 06 11	0.011	96.51
2020 01 06 12	0.009	94.21
2020 01 06 13	0.008	92.28
2020 01 06 14	0.011	95.19
2020 01 06 15	0.015	93.73
2020 01 06 16	0.021	92.68
2020 01 06 17	0.026	92.14
2020 01 06 18	0.029	91.93
2020 01 06 19	0.029	91.93
2020 01 06 20	0.027	91.41
2020 01 06 21	0.024	91.57
2020 01 06 22	0.023	90.82
2020 01 06 23	0.023	90.82
2020 01 07 00	0.023	90.01
2020 01 07 01	0.024	90.0
2020 01 07 02	0.025	90.0
2020 01 07 03	0.026	90.0
2020 01 07 04	0.028	90.0
2020 01 07 05	0.028	90.68
2020 01 07 06	0.025	91.49
2020 01 07 07	0.02	91.85
2020 01 07 08	0.013	92.86
2020 01 07 09	0.004	90.0
2020 01 07 10	0.003	161.87
2020 01 07 11	0.009	275.9
2020 01 07 12	0.011	275.19
2020 01 07 13	0.007	275.17
2020 01 07 14	0.001	53.21
2020 01 07 15	0.014	88.71
2020 01 07 16	0.031	90.0
2020 01 07 17	0.047	91.2
2020 01 07 18	0.059	91.94
2020 01 07 19	0.062	92.45
2020 01 07 20	0.059	92.91
2020 01 07 21	0.053	93.59
2020 01 07 22	0.047	93.24
2020 01 07 23	0.04	93.3
2020 01 08 00	0.021	93.51
2020 01 08 01	0.019	92.96
2020 01 08 02	0.018	92.08
2020 01 08 03	0.02	90.94
2020 01 08 04	0.025	90.0
2020 01 08 05	0.03	90.0
2020 01 08 06	0.036	91.58
2020 01 08 07	0.038	91.97
2020 01 08 08	0.037	92.53
2020 01 08 09	0.031	93.69
2020 01 08 10	0.021	92.72
2020 01 08 11	0.008	92.19
2020 01 08 12	0.002	114.08
2020 01 08 13	0.011	275.03
2020 01 08 14	0.016	275.69
2020 01 08 15	0.018	276.1
2020 01 08 16	0.017	277.64
2020 01 08 17	0.013	280.15
2020 01 08 18	0.004	288.38
2020 01 08 19	0.002	51.54
2020 01 08 20	0.008	83.19
2020 01 08 21	0.018	90.01
2020 01 08 22	0.026	90.74
2020 01 08 23	0.029	91.31
2020 01 09 00	0.025	91.51
2020 01 09 01	0.021	91.76
2020 01 09 02	0.02	90.96
2020 01 09 03	0.018	91.05
2020 01 09 04	0.017	90.01
2020 01 09 05	0.017	90.01
2020 01 09 06	0.017	90.01
2020 01 09 07	0.017	90.01
2020 01 09 08	0.014	91.31
2020 01 09 09	0.011	91.69
2020 01 09 10	0.005	90.0
2020 01 09 11	0.0	63.57
