Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2019 12 28 11	14.015
2019 12 28 12	14.031
2019 12 28 13	14.052
2019 12 28 14	14.07
2019 12 28 15	14.09
2019 12 28 16	14.11
2019 12 28 17	14.129
2019 12 28 18	14.13
2019 12 28 19	14.122
2019 12 28 20	14.116
2019 12 28 21	14.106
2019 12 28 22	14.094
2019 12 28 23	14.08
2019 12 29 00	14.069
2019 12 29 01	14.057
2019 12 29 02	14.045
2019 12 29 03	14.03
2019 12 29 04	14.014
2019 12 29 05	13.996
2019 12 29 06	13.977
2019 12 29 07	13.956
2019 12 29 08	13.936
2019 12 29 09	13.917
2019 12 29 10	13.899
2019 12 29 11	13.878
2019 12 29 12	13.884
2019 12 29 13	13.905
2019 12 29 14	13.924
2019 12 29 15	13.948
2019 12 29 16	13.973
2019 12 29 17	13.999
2019 12 29 18	13.998
2019 12 29 19	13.98
2019 12 29 20	13.964
2019 12 29 21	13.943
2019 12 29 22	13.922
2019 12 29 23	13.905
2019 12 30 00	13.889
2019 12 30 01	13.867
2019 12 30 02	13.842
2019 12 30 03	13.815
2019 12 30 04	13.788
2019 12 30 05	13.758
2019 12 30 06	13.725
2019 12 30 07	13.69
2019 12 30 08	13.658
2019 12 30 09	13.63
2019 12 30 10	13.605
2019 12 30 11	13.58
2019 12 30 12	13.588
2019 12 30 13	13.61
2019 12 30 14	13.625
2019 12 30 15	13.654
2019 12 30 16	13.691
2019 12 30 17	13.723
2019 12 30 18	13.701
2019 12 30 19	13.65
2019 12 30 20	13.628
2019 12 30 21	13.602
2019 12 30 22	13.619
2019 12 30 23	13.668
2019 12 31 00	13.722
2019 12 31 01	13.737
2019 12 31 02	13.728
2019 12 31 03	13.716
2019 12 31 04	13.704
2019 12 31 05	13.689
2019 12 31 06	13.677
2019 12 31 07	13.663
2019 12 31 08	13.646
2019 12 31 09	13.628
2019 12 31 10	13.61
2019 12 31 11	13.594
2019 12 31 12	13.602
2019 12 31 13	13.627
2019 12 31 14	13.649
2019 12 31 15	13.677
2019 12 31 16	13.709
2019 12 31 17	13.741
2019 12 31 18	13.735
2019 12 31 19	13.701
2019 12 31 20	13.68
2019 12 31 21	13.654
2019 12 31 22	13.625
2019 12 31 23	13.603
2020 01 01 00	13.773
2020 01 01 01	13.759
2020 01 01 02	13.745
2020 01 01 03	13.729
2020 01 01 04	13.709
2020 01 01 05	13.685
2020 01 01 06	13.659
2020 01 01 07	13.624
2020 01 01 08	13.577
2020 01 01 09	13.524
2020 01 01 10	13.472
2020 01 01 11	13.421
2020 01 01 12	13.417
2020 01 01 13	13.447
2020 01 01 14	13.473
2020 01 01 15	13.507
2020 01 01 16	13.549
2020 01 01 17	13.593
2020 01 01 18	13.579
2020 01 01 19	13.507
2020 01 01 20	13.449
2020 01 01 21	13.431
2020 01 01 22	13.426
2020 01 01 23	13.413
2020 01 02 00	13.393
2020 01 02 01	13.363
2020 01 02 02	13.32
2020 01 02 03	13.262
2020 01 02 04	13.196
2020 01 02 05	13.129
2020 01 02 06	13.069
2020 01 02 07	13.041
2020 01 02 08	13.021
2020 01 02 09	13.001
2020 01 02 10	13.024
2020 01 02 11	13.074
2020 01 02 12	13.153
2020 01 02 13	13.209
2020 01 02 14	13.246
2020 01 02 15	13.276
2020 01 02 16	13.3
2020 01 02 17	13.323
2020 01 02 18	13.31
2020 01 02 19	13.27
2020 01 02 20	13.229
2020 01 02 21	13.184
2020 01 02 22	13.149
2020 01 02 23	13.135
2020 01 03 00	13.144
2020 01 03 01	13.146
2020 01 03 02	13.139
2020 01 03 03	13.121
2020 01 03 04	13.094
2020 01 03 05	13.061
2020 01 03 06	13.026
2020 01 03 07	12.994
2020 01 03 08	12.969
2020 01 03 09	12.956
2020 01 03 10	12.951
2020 01 03 11	12.949
2020 01 03 12	12.954
2020 01 03 13	12.957
2020 01 03 14	12.957
2020 01 03 15	12.955
2020 01 03 16	12.954
2020 01 03 17	12.957
2020 01 03 18	12.96
2020 01 03 19	12.961
2020 01 03 20	12.963
2020 01 03 21	12.961
2020 01 03 22	12.956
2020 01 03 23	12.949
2020 01 04 00	12.939
2020 01 04 01	12.919
2020 01 04 02	12.891
2020 01 04 03	12.862
2020 01 04 04	12.844
2020 01 04 05	12.832
2020 01 04 06	12.82
2020 01 04 07	12.807
2020 01 04 08	12.792
2020 01 04 09	12.777
2020 01 04 10	12.763
2020 01 04 11	12.749
2020 01 04 12	12.753
2020 01 04 13	12.772
2020 01 04 14	12.789
2020 01 04 15	12.809
2020 01 04 16	12.829
2020 01 04 17	12.848
2020 01 04 18	12.848
2020 01 04 19	12.833
2020 01 04 20	12.827
2020 01 04 21	12.819
2020 01 04 22	12.808
2020 01 04 23	12.797
2020 01 05 00	12.818
2020 01 05 01	12.817
2020 01 05 02	12.806
2020 01 05 03	12.79
2020 01 05 04	12.771
2020 01 05 05	12.753
2020 01 05 06	12.737
2020 01 05 07	12.729
2020 01 05 08	12.736
2020 01 05 09	12.765
2020 01 05 10	12.82
2020 01 05 11	12.893
2020 01 05 12	12.984
2020 01 05 13	13.074
2020 01 05 14	13.156
2020 01 05 15	13.238
2020 01 05 16	13.307
2020 01 05 17	13.364
2020 01 05 18	13.397
2020 01 05 19	13.409
2020 01 05 20	13.411
2020 01 05 21	13.402
2020 01 05 22	13.389
2020 01 05 23	13.375
2020 01 06 00	13.349
2020 01 06 01	13.319
2020 01 06 02	13.276
2020 01 06 03	13.222
2020 01 06 04	13.18
2020 01 06 05	13.199
2020 01 06 06	13.274
2020 01 06 07	13.314
2020 01 06 08	13.325
2020 01 06 09	13.327
2020 01 06 10	13.324
2020 01 06 11	13.316
2020 01 06 12	13.32
2020 01 06 13	13.33
2020 01 06 14	13.337
2020 01 06 15	13.347
2020 01 06 16	13.362
2020 01 06 17	13.377
2020 01 06 18	13.363
2020 01 06 19	13.331
2020 01 06 20	13.306
2020 01 06 21	13.277
2020 01 06 22	13.245
2020 01 06 23	13.217
2020 01 07 00	13.164
2020 01 07 01	13.151
2020 01 07 02	13.135
2020 01 07 03	13.117
2020 01 07 04	13.095
2020 01 07 05	13.069
2020 01 07 06	13.037
2020 01 07 07	12.995
2020 01 07 08	12.939
2020 01 07 09	12.878
2020 01 07 10	12.817
2020 01 07 11	12.761
2020 01 07 12	12.763
2020 01 07 13	12.816
2020 01 07 14	12.871
2020 01 07 15	12.938
2020 01 07 16	13.016
2020 01 07 17	13.091
2020 01 07 18	13.106
2020 01 07 19	13.071
2020 01 07 20	13.049
2020 01 07 21	13.019
2020 01 07 22	12.977
2020 01 07 23	12.939
2020 01 08 00	13.138
2020 01 08 01	13.102
2020 01 08 02	13.067
2020 01 08 03	13.032
2020 01 08 04	12.998
2020 01 08 05	12.966
2020 01 08 06	12.939
2020 01 08 07	12.903
2020 01 08 08	12.852
2020 01 08 09	12.813
2020 01 08 10	12.79
2020 01 08 11	12.768
2020 01 08 12	12.781
2020 01 08 13	12.829
2020 01 08 14	12.876
2020 01 08 15	12.934
2020 01 08 16	13.007
2020 01 08 17	13.085
2020 01 08 18	13.129
2020 01 08 19	13.125
2020 01 08 20	13.115
2020 01 08 21	13.087
2020 01 08 22	13.054
2020 01 08 23	13.049
2020 01 09 00	13.068
2020 01 09 01	13.07
2020 01 09 02	13.064
2020 01 09 03	13.056
2020 01 09 04	13.041
2020 01 09 05	13.029
2020 01 09 06	13.024
2020 01 09 07	13.026
2020 01 09 08	13.032
2020 01 09 09	13.043
2020 01 09 10	13.052
2020 01 09 11	13.056
2020 01 09 12	13.082
2020 01 09 13	13.126
2020 01 09 14	13.172
2020 01 09 15	13.243
2020 01 09 16	13.352
2020 01 09 17	13.473
2020 01 09 18	13.585
2020 01 09 19	13.656
2020 01 09 20	13.693
2020 01 09 21	13.701
2020 01 09 22	13.691
2020 01 09 23	13.678
2020 01 10 00	13.659
2020 01 10 01	13.638
2020 01 10 02	13.621
2020 01 10 03	13.606
2020 01 10 04	13.592
2020 01 10 05	13.578
2020 01 10 06	13.564
2020 01 10 07	13.549
2020 01 10 08	13.535
2020 01 10 09	13.523
2020 01 10 10	13.515
2020 01 10 11	13.507
2020 01 10 12	13.509
2020 01 10 13	13.513
2020 01 10 14	13.514
2020 01 10 15	13.519
2020 01 10 16	13.525
2020 01 10 17	13.531
2020 01 10 18	13.515
2020 01 10 19	13.471
2020 01 10 20	13.413
2020 01 10 21	13.379
2020 01 10 22	13.348
2020 01 10 23	13.31
2020 01 11 00	13.275
2020 01 11 01	13.24
2020 01 11 02	13.209
2020 01 11 03	13.178
2020 01 11 04	13.15
2020 01 11 05	13.122
2020 01 11 06	13.096
2020 01 11 07	13.063
2020 01 11 08	13.024
2020 01 11 09	12.981
2020 01 11 10	12.931
2020 01 11 11	12.88
2020 01 11 12	12.884
2020 01 11 13	12.93
2020 01 11 14	12.971
2020 01 11 15	13.029
2020 01 11 16	13.083
2020 01 11 17	13.131
2020 01 11 18	13.137
2020 01 11 19	13.102
2020 01 11 20	13.099
2020 01 11 21	13.122
2020 01 11 22	13.145
2020 01 11 23	13.167
2020 01 12 00	13.179
2020 01 12 01	13.167
2020 01 12 02	13.145
2020 01 12 03	13.121
2020 01 12 04	13.096
2020 01 12 05	13.069
2020 01 12 06	13.039
2020 01 12 07	13.004
2020 01 12 08	12.962
2020 01 12 09	12.911
2020 01 12 10	12.848
2020 01 12 11	12.767
2020 01 12 12	12.74
2020 01 12 13	12.77
2020 01 12 14	12.797
2020 01 12 15	12.836
2020 01 12 16	12.89
2020 01 12 17	12.943
2020 01 12 18	12.951
2020 01 12 19	12.915
2020 01 12 20	12.885
2020 01 12 21	12.854
2020 01 12 22	12.841
2020 01 12 23	12.856
2020 01 13 00	12.864
2020 01 13 01	12.844
2020 01 13 02	12.823
2020 01 13 03	12.801
2020 01 13 04	12.783
2020 01 13 05	12.772
2020 01 13 06	12.767
2020 01 13 07	12.766
2020 01 13 08	12.768
2020 01 13 09	12.776
2020 01 13 10	12.786
2020 01 13 11	12.78
2020 01 13 12	12.792
2020 01 13 13	12.83
2020 01 13 14	12.885
2020 01 13 15	12.959
2020 01 13 16	13.036
2020 01 13 17	13.114
2020 01 13 18	13.18
2020 01 13 19	13.222
2020 01 13 20	13.253
2020 01 13 21	13.267
2020 01 13 22	13.27
2020 01 13 23	13.269
2020 01 14 00	13.264
2020 01 14 01	13.253
2020 01 14 02	13.24
2020 01 14 03	13.228
2020 01 14 04	13.218
2020 01 14 05	13.208
2020 01 14 06	13.199
2020 01 14 07	13.19
2020 01 14 08	13.182
2020 01 14 09	13.173
2020 01 14 10	13.162
2020 01 14 11	13.152
2020 01 14 12	13.151
2020 01 14 13	13.158
